make,model,year,overall_rating,frontal_crash,side_crash,rollover,safety_concern,model,1,2,3,,,,
Audi,A4 Avant SW AWD,2012,4.7,4,5,5,FALSE,A4,Avant,SW,AWD,,,,
Audi,A4 4 DR AWD,2012,4.7,4,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,S4 4 DR AWD,2012,4.7,4,5,5,FALSE,S4,4,DR,AWD,,,,
Audi,Q5 SUV AWD,2015,4.3,4,5,4,FALSE,Q5,SUV,AWD,,,,,
Audi,SQ5 SUV AWD,2015,4.3,4,5,4,FALSE,SQ5,SUV,AWD,,,,,
Audi,Q5 HEV SUV AWD,2015,4.3,4,5,4,FALSE,Q5,HEV,SUV,AWD,,,,
Audi,Q5 SUV AWD,2016,4.3,4,5,4,FALSE,Q5,SUV,AWD,,,,,
Audi,Q5 HEV SUV AWD,2016,4.3,4,5,4,FALSE,Q5,HEV,SUV,AWD,,,,
Audi,SQ5 SUV AWD,2016,4.3,4,5,4,FALSE,SQ5,SUV,AWD,,,,,
Audi,SQ5 SUV AWD,2014,4.3,4,5,4,FALSE,SQ5,SUV,AWD,,,,,
Audi,Q5 SUV AWD,2014,4.3,4,5,4,FALSE,Q5,SUV,AWD,,,,,
Audi,Q5 HEV SUV AWD,2014,4.3,4,5,4,FALSE,Q5,HEV,SUV,AWD,,,,
Audi,Q5 SUV AWD,2017,4.3,4,5,4,FALSE,Q5,SUV,AWD,,,,,
Audi,SQ5 SUV AWD,2017,4.3,4,5,4,FALSE,SQ5,SUV,AWD,,,,,
BMW,535 I Xdrive GT 4 DR 4WD,2011,4.7,4,5,5,FALSE,535,I,Xdrive,GT,4,DR,4WD,
BMW,535 I Xdrive 4 DR 4WD,2011,4.7,4,5,5,FALSE,535,I,Xdrive,4,DR,4WD,,
BMW,550 I Xdrive GT 4 DR 4WD,2011,4.7,4,5,5,FALSE,550,I,Xdrive,GT,4,DR,4WD,
BMW,550 I Xdrive 4 DR 4WD,2011,4.7,4,5,5,FALSE,550,I,Xdrive,4,DR,4WD,,
BMW,528 I 4 DR RWD,2011,4.7,4,5,5,FALSE,528,I,4,DR,RWD,,,
BMW,535 I GT 4 DR RWD,2011,4.7,4,5,5,FALSE,535,I,GT,4,DR,RWD,,
BMW,535 I 4 DR RWD,2011,4.7,4,5,5,FALSE,535,I,4,DR,RWD,,,
BMW,550 I GT 4 DR RWD,2011,4.7,4,5,5,FALSE,550,I,GT,4,DR,RWD,,
BMW,550 I 4 DR RWD,2011,4.7,4,5,5,FALSE,550,I,4,DR,RWD,,,
BMW,535 I 4 DR AWD,2011,4.7,4,5,5,FALSE,535,I,4,DR,AWD,,,
BMW,328 I 4 DR RWD,2012,4.7,4,5,5,FALSE,328,I,4,DR,RWD,,,
BMW,335 I 4 DR RWD,2012,4.7,4,5,5,FALSE,335,I,4,DR,RWD,,,
BMW,528 I 4 DR RWD,2012,4.7,4,5,5,FALSE,528,I,4,DR,RWD,,,
BMW,528 XI 4 DR AWD,2012,4.7,4,5,5,FALSE,528,XI,4,DR,AWD,,,
BMW,535 I 4 DR RWD,2012,4.7,4,5,5,FALSE,535,I,4,DR,RWD,,,
BMW,535 I Xdrive 4 DR AWD,2012,4.7,4,5,5,FALSE,535,I,Xdrive,4,DR,AWD,,
BMW,550 I 4 DR RWD,2012,4.7,4,5,5,FALSE,550,I,4,DR,RWD,,,
BMW,550 I Xdrive 4 DR AWD,2012,4.7,4,5,5,FALSE,550,I,Xdrive,4,DR,AWD,,
BMW,535 I GT 4 DR RWD,2012,4.7,4,5,5,FALSE,535,I,GT,4,DR,RWD,,
